Type	lambda	s	a	b	r	E[N]	Var[N]	P[N=0]	E[T]	Var[T]	E[T^r]
Uniform	1	0.05	-0.75	0.75	0.5	1	0	0	1.00000114280638	0.00167094927318101	0.999791463186961
Uniform	1	0.25	-0.75	0.75	0.5	1	0	0	1.00000571403187	0.0417737318297129	0.99460848855693
Uniform	1	0.45	-0.75	0.75	0.5	1.44444444444444	0.345679012345679	0	1.00001028525736	0.135346891128279	0.980790539190545
Uniform	1	0.65	-0.75	0.75	0.5	1.61538461538462	0.42603550295858	0	1.00001485648286	0.266258971301182	0.955965535772251
Uniform	1	0.85	-0.75	0.75	0.5	1.58823529411765	0.560553633217993	0.0492570730714432	1.00001942770835	0.365855819519063	0.941067378019784
Uniform	1	1.05	-0.75	0.75	0.5	1.47619047619048	0.675736961451247	0.109491415613865	1.00002399893384	0.439954668752862	0.93289298056318
Uniform	1	1.25	-0.75	0.75	0.5	1.4	0.72	0.144	1.00002757042427	0.502654468465748	0.925378330783661
Uniform	1	1.45	-0.75	0.75	0.5	1.48275862068965	0.863258026159334	0.143801500345008	1.00002664853661	0.551519948045911	0.920237783143788
Uniform	1	1.65	-0.75	0.75	0.5	1.54545454545455	0.94949494949495	0.139638766371913	1.00002572664894	0.592630940621962	0.916236360120995
Uniform	1	1.85	-0.75	0.75	0.5	1.54054054054054	0.994886778670562	0.147564812316667	1.00002480476126	0.625570681164496	0.913182499483766
Uniform	1	2.05	-0.75	0.75	0.5	1.48780487804878	1.01011302795955	0.165207074241973	1.00002158120341	0.650931554196802	0.910896975553537
Uniform	1	2.25	-0.75	0.75	0.5	1.44444444444444	1.01234567901235	0.179240969364426	1.00002043476255	0.672611678499115	0.908787171520637
Uniform	1	2.45	-0.75	0.75	0.5	1.48979591836735	1.085381091212	0.17525215012917	1.00001928832169	0.690406608994009	0.90726675787631
Uniform	1	2.65	-0.75	0.75	0.5	1.52830188679245	1.13705945176219	0.170585093063649	1.00001814188083	0.70552134065807	0.906025497995699
Uniform	1	2.85	-0.75	0.75	0.5	1.52631578947368	1.15789473684211	0.173885278187545	1.00001699543996	0.718469936280095	0.905058027975133
Uniform	1	3.05	-0.75	0.75	0.5	1.49180327868853	1.15506584251545	0.184090786224334	1.00001880754237	0.730665497769242	0.904096871844232
Uniform	1	3.25	-0.75	0.75	0.5	1.46153846153846	1.14792899408284	0.192833242576872	1.00002441226283	0.742773153230391	0.902939805620642
Uniform	1	3.45	-0.75	0.75	0.5	1.49275362318841	1.19428691451376	0.188897538719257	1.00003001698327	0.752966045612602	0.902497184571041
Uniform	1	3.65	-0.75	0.75	0.5	1.52054794520548	1.22987427284669	0.184772115631866	1.00003562170373	0.762885556967343	0.901745157624383
Uniform	1	3.85	-0.75	0.75	0.5	1.51948051948052	1.2416933715635	0.18657007983581	1.00004122642418	0.773068672127146	0.90082202681863
Uniform	1	4.05	-0.75	0.75	0.5	1.49382716049383	1.23426306965402	0.193681481809155	1.00004683114464	0.782966550342548	0.900200953195606
Uniform	1	4.25	-0.75	0.75	0.5	1.47058823529412	1.22491349480969	0.200003905126002	1.00005243586508	0.792738119973862	0.899640681265801
Uniform	1	4.45	-0.75	0.75	0.5	1.49438202247191	1.25817447292009	0.19649518857268	1.00005537886874	0.800803962958707	0.899211802147001
Uniform	1	4.65	-0.75	0.75	0.5	1.51612903225806	1.2850040467106	0.192922988415876	1.00005037741963	0.809272657016232	0.898590006176958
Uniform	1	4.85	-0.75	0.75	0.5	1.51546391752577	1.29259219895844	0.194052114388467	1.00004537597053	0.81788881180737	0.897815821182391
Uniform	1	5.05	-0.75	0.75	0.5	1.49504950495049	1.28399176551318	0.199488032351269	1.00004227482641	0.825420134980835	0.897400443223347
Uniform	1	5.25	-0.75	0.75	0.5	1.47619047619048	1.27437641723356	0.204431354317651	1.00004262898896	0.832254642356653	0.897099852932777
Uniform	1	5.45	-0.75	0.75	0.5	1.4954128440367	1.30005891759953	0.201334051510179	1.0000429831515	0.837611243639653	0.896780130804638
Uniform	1	5.65	-0.75	0.75	0.5	1.51327433628319	1.32148171352494	0.198215814332706	1.00003410306648	0.842294589222564	0.896101185946198
Uniform	1	5.85	-0.75	0.75	0.5	1.51282051282051	1.3267587113741	0.198990179719369	1.0000241288541	0.845947685171578	0.895547600029644
Uniform	1	6.05	-0.75	0.75	0.5	1.49586776859504	1.31807936616351	0.203381567764623	1.0000147593485	0.84912819954076	0.895544066684342
Uniform	1	6.25	-0.75	0.75	0.5	1.48	1.3088	0.207436438963035	1.00001562121493	0.852264090717682	0.89534027570044
Uniform	1	6.45	-0.75	0.75	0.5	1.49612403100775	1.32960759569737	0.204685404538744	1.00001757003521	0.854861313283652	0.895339414339584
Uniform	1	6.65	-0.75	0.75	0.5	1.51127819548872	1.34739103397592	0.201929983246639	1.00001811484249	0.859021498727369	0.894722049187397
Uniform	1	6.85	-0.75	0.75	0.5	1.51094890510949	1.35127071234482	0.202493871014786	1.00001865964979	0.86270333631473	0.894302680698425
Uniform	1	7.05	-0.75	0.75	0.5	1.49645390070922	1.34289019667019	0.20617389643125	1.00001530840978	0.865511371780887	0.894151321912089
Uniform	1	7.25	-0.75	0.75	0.5	1.48275862068966	1.33412604042806	0.209609558612212	1.00000628674133	0.867260099018608	0.894246176964373
Uniform	1	7.45	-0.75	0.75	0.5	1.49664429530201	1.35156074050719	0.207143647627524	0.999997265072888	0.869565638335401	0.894209743324944
Uniform	1	7.65	-0.75	0.75	0.5	1.50980392156863	1.36673928830792	0.204680249007659	0.999997636648897	0.872057054892426	0.894155363428362
Uniform	1	7.85000000000001	-0.75	0.75	0.5	1.50955414012739	1.36971073877236	0.205109119078203	1.00000716059906	0.874380650858539	0.893918633828653
Uniform	1	8.05	-0.75	0.75	0.5	1.49689440993789	1.36175301878786	0.20827435867961	1.00001668454922	0.877111249408591	0.893369372477768
Uniform	1	8.25	-0.75	0.75	0.5	1.48484848484849	1.35353535353535	0.211254140903367	1.00002620849939	0.878923948206624	0.893286690616423
Uniform	1	8.45	-0.75	0.75	0.5	1.49704142011834	1.36850950596968	0.209023767830977	1.00003573244955	0.882361351329454	0.893232160698591
Uniform	1	8.65	-0.75	0.75	0.5	1.50867052023121	1.38173677703899	0.206798794479701	1.00004525639972	0.886837255412791	0.892570116001363
Uniform	1	8.85	-0.75	0.75	0.5	1.50847457627119	1.38408503303648	0.207135915006344	1.00005478034988	0.890504119238377	0.892265891815402
Uniform	1	9.05	-0.75	0.75	0.5	1.49723756906077	1.37657580659931	0.209911765048739	1.00006430430004	0.8931438541162	0.892373630507959
Uniform	1	9.25	-0.75	0.75	0.5	1.48648648648649	1.36888239590942	0.212542077429437	1.00006992048272	0.895241990822494	0.892444912389543
Uniform	1	9.45	-0.75	0.75	0.5	1.4973544973545	1.38198818622099	0.210508229681742	1.00007215297364	0.899068804654279	0.891913899069324
Uniform	1	9.65	-0.75	0.75	0.5	1.50777202072539	1.39370184434481	0.208480874652415	1.00007438546456	0.903129757718947	0.89176891532605
Uniform	1	9.85	-0.75	0.75	0.5	1.50761421319797	1.39560411244814	0.208752822800418	1.00007661795547	0.908195869101767	0.890892827188806
Uniform	1	10.05	-0.75	0.75	0.5	1.49751243781095	1.38852998688151	0.211224043588722	1.00007885044639	0.912703841664168	0.890553770920686
Uniform	1	10.25	-0.75	0.75	0.5	1.48780487804878	1.38132064247472	0.213578021299156	1.00008108293731	0.915343311669903	0.89036382180774
Uniform	1	10.45	-0.75	0.75	0.5	1.49760765550239	1.39296261532474	0.211710028860433	1.00008331542823	0.916782477450633	0.890333740013883
Uniform	1	10.65	-0.75	0.75	0.5	1.50704225352113	1.4034693292777	0.209848785908056	1.00008554791916	0.916941056620207	0.890429835326057
Uniform	1	10.85	-0.75	0.75	0.5	1.50691244239631	1.40504151712714	0.21007278374454	1.00008778041006	0.915387115215945	0.890885285903699
Uniform	1	11.05	-0.75	0.75	0.5	1.49773755656109	1.39837431666018	0.212299289085909	1.000090012901	0.914347943487567	0.891114257115992
Uniform	1	11.25	-0.75	0.75	0.5	1.48888888888889	1.3916049382716	0.214429332013315	1.00009224539192	0.914803932448622	0.891077376172815
Uniform	1	11.45	-0.75	0.75	0.5	1.49781659388646	1.40207089872428	0.212702876876834	1.00009447788283	0.916152525955559	0.890879808938934
Uniform	1	11.65	-0.75	0.75	0.5	1.50643776824034	1.41159350881394	0.210983034525708	1.00009671037375	0.918647094531765	0.89026985842367
Uniform	1	11.85	-0.75	0.75	0.5	1.50632911392405	1.41291459701971	0.211170730316178	1.00009894286466	0.920157615463218	0.890060917063566
Uniform	1	12.05	-0.75	0.75	0.5	1.49792531120332	1.40662178681497	0.213196405439511	1.00009547335399	0.921596970743524	0.889785824928142
Uniform	1	12.25	-0.75	0.75	0.5	1.48979591836735	1.40024989587672	0.21514132739249	1.0000887594954	0.920633861511921	0.890292397264725
Uniform	1	12.45	-0.75	0.75	0.5	1.49799196787149	1.40975145562168	0.213536906775542	1.00008719790102	0.919696615742353	0.890547727536222
Uniform	1	12.65	-0.75	0.75	0.5	1.50592885375494	1.41845677951538	0.211938783219659	1.00008752775575	0.919047768468077	0.890547414633144
Uniform	1	12.85	-0.75	0.75	0.5	1.50583657587549	1.4195824312253	0.212098336595579	1.00008785761047	0.917647032768805	0.890948780480558
Uniform	1	13.05	-0.75	0.75	0.5	1.49808429118774	1.41363162607713	0.213956271858748	1.00008818746519	0.917147502935156	0.891144711841481
Uniform	1	13.25	-0.75	0.75	0.5	1.49056603773585	1.40761836952652	0.215745616924397	1.00008851731991	0.916768214200308	0.891147525043762
Uniform	1	13.45	-0.75	0.75	0.5	1.49814126394052	1.41631541852655	0.214247402257052	1.00008884717463	0.917074899645813	0.891093314819782
Uniform	1	13.65	-0.75	0.75	0.5	1.5054945054945	1.42433146828751	0.212755096871957	1.00008917702936	0.917340906432069	0.891090371037599
Uniform	1	13.85	-0.75	0.75	0.5	1.50541516245487	1.42530203703945	0.212892393423039	1.00008950688408	0.918219738758232	0.890843804435655
Uniform	1	14.05	-0.75	0.75	0.5	1.4982206405694	1.41966287154418	0.214608147568711	1.00008983673882	0.919160494270119	0.890484212782981
Uniform	1	14.25	-0.75	0.75	0.5	1.49122807017544	1.41397353031702	0.216264920395523	1.00009016659354	0.92046507995305	0.890455521625935
Uniform	1	14.45	-0.75	0.75	0.5	1.49826989619377	1.42198967924235	0.214859916340012	1.00009049644825	0.921621669404056	0.890219995502714
Uniform	1	14.65	-0.75	0.75	0.5	1.50511945392491	1.42941676664842	0.213460415709919	1.00008975756159	0.921064246091023	0.890522479612276
