k	x	y	x2	y2	col
0	0.0000	0.0000	1	0	0
1	1.0000	0.0000	1.723926501	0.588626354	1
2	1.7239	0.5886	1.765543066	1.483617763	2
3	1.7655	1.4836	1.587954471	0.63137333	3
4	1.5880	0.6314	2.00351148	1.37440229	4
5	2.0035	1.3744	1.506823284	2.046806897	5
6	1.5068	2.0468	0.717240989	1.814060869	6
7	0.7172	1.8141	0.344148546	2.535556527	7
8	0.3441	2.5356	-0.455129139	2.610049462	8
9	-0.4551	2.6100	-0.591662836	3.392555625	9
10	-0.5917	3.3926	-0.706603896	4.170908034	10
11	-0.7066	4.1709	0.048756923	3.976500282	11
12	0.0488	3.9765	-0.585221496	4.420092684	12
13	-0.5852	4.4201	-1.019820599	3.78683272	13
14	-1.0198	3.7868	-1.66753108	4.189674986	14
15	-1.6675	4.1897	-0.972748215	3.886977203	15
16	-0.9727	3.8870	-0.252076463	3.667752405	16
17	-0.2521	3.6678	-0.874543266	3.251203906	17
18	-0.8745	3.2512	-0.137382017	3.143791403	18
19	-0.1374	3.1438	0.422062093	2.657681787	19
20	0.4221	2.6577	0.597508085	1.941326326	20
21	0.5975	1.9413	0.056140465	2.437138924	21
22	0.0561	2.4371	0.29252115	1.745573058	22
23	0.2925	1.7456	-0.368738091	1.441684696	23
24	-0.3687	1.4417	-0.7481425	2.059226481	24
25	-0.7481	2.0592	-1.468206457	2.007178371	25
26	-1.4682	2.0072	-1.568140185	1.294931849	26
27	-1.5681	1.2949	-1.626275881	2.009182004	27
28	-1.6263	2.0092	-2.092133703	2.550401036	28
29	-2.0921	2.5504	-2.79815206	2.460769769	29
30	-2.7982	2.4608	-3.012030947	1.784426075	30
31	-3.0120	1.7844	-3.693178568	1.594589517	31
32	-3.6932	1.5946	-4.39458074	1.524110609	32
33	-4.3946	1.5241	-3.743825867	1.789614353	33
34	-3.7438	1.7896	-3.899005285	1.106212598	34
35	-3.8990	1.1062	-3.693576494	1.77416346	35
36	-3.6936	1.7742	-4.372367495	1.616260551	36
37	-4.3724	1.6163	-3.775491102	1.972414332	37
38	-3.7755	1.9724	-4.198886495	1.423469884	38
39	-4.1989	1.4235	-4.890019843	1.446073971	39
40	-4.8900	1.4461	-5.542588526	1.669624192	40
41	-5.5426	1.6696	-4.993912819	1.254307624	41
42	-4.9939	1.2543	-4.570946501	0.71355896	42
43	-4.5709	0.7136	-3.887187771	0.673290328	43
44	-3.8872	0.6733	-4.274683624	0.110359922	44
45	-4.2747	0.1104	-3.696487487	-0.251143036	45
46	-3.6965	-0.2511	-4.321689729	-0.519697605	46
47	-4.3217	-0.5197	-4.021863338	0.089529849	47
48	-4.0219	0.0895	-3.452593851	0.457074134	48
49	-3.4526	0.4571	-4.090756126	0.680801564	49
50	-4.0908	0.6808	-3.864559932	1.316673208	50
51	-3.8646	1.3167	-3.37392344	1.778200835	51
52	-3.3739	1.7782	-3.006358159	1.215259971	52
53	-3.0064	1.2153	-2.659455761	0.640822213	53
54	-2.6595	0.6408	-3.285558706	0.878867475	54
55	-3.2856	0.8789	-2.82304627	0.396023062	55
56	-2.8230	0.3960	-2.696234884	1.051305908	56
57	-2.6962	1.0513	-3.352057493	1.168892517	57
58	-3.3521	1.1689	-4.015342099	1.119210721	58
59	-4.0153	1.1192	-3.556996026	1.599678182	59
60	-3.5570	1.5997	-2.900608778	1.692579402	60
61	-2.9006	1.6926	-2.65732765	1.077061529	61
62	-2.6573	1.0771	-2.008894206	1.204271932	62
63	-2.0089	1.2043	-1.627536193	1.742641087	63
64	-1.6275	1.7426	-2.22059237	1.455914693	64
65	-2.2206	1.4559	-2.686870248	0.992029341	65
66	-2.6869	0.9920	-3.252308502	0.657985745	66
67	-3.2523	0.6580	-3.5671247	0.082729081	67
68	-3.5671	0.0827	-2.938341838	0.265507168	68
69	-2.9383	0.2655	-2.648412048	-0.320568168	69
70	-2.6484	-0.3206	-2.05973673	-0.038090271	70
71	-2.0597	-0.0381	-1.815278596	-0.642558401	71
72	-1.8153	-0.6426	-1.170686796	-0.550516531	72
73	-1.1707	-0.5505	-1.569135776	-1.064380904	73
74	-1.5691	-1.0644	-2.137619877	-1.378244622	74
75	-2.1376	-1.3782	-2.360073015	-1.987410958	75
76	-2.3601	-1.9874	-2.088159157	-2.575232164	76
77	-2.0882	-2.5752	-2.071543134	-3.221849284	77
78	-2.0715	-3.2218	-2.147935638	-2.580374921	78
79	-2.1479	-2.5804	-1.63430053	-2.189919316	79
80	-1.6343	-2.1899	-1.00100491	-2.309000398	80
81	-1.0010	-2.3090	-1.605004225	-2.531285594	81
82	-1.6050	-2.5313	-2.241722802	-2.619673113	82
83	-2.2417	-2.6197	-2.883389963	-2.641979424	83
84	-2.8834	-2.6420	-2.421019392	-2.197599842	84
85	-2.4210	-2.1976	-1.79652395	-2.34009301	85
86	-1.7965	-2.3401	-2.300297737	-2.734508082	86
87	-2.3003	-2.7345	-2.818991979	-3.10783496	87
88	-2.8190	-3.1078	-3.45202894	-3.0256222	88
89	-3.4520	-3.0256	-3.401191784	-3.66123271	89
90	-3.4012	-3.6612	-2.79736928	-3.863929458	90
91	-2.7974	-3.8639	-3.428730954	-3.942569372	91
92	-3.4287	-3.9426	-2.832310062	-4.162136239	92
93	-2.8323	-4.1621	-3.126832237	-4.724560525	93
94	-3.1268	-4.7246	-2.740689113	-4.221464387	94
95	-2.7407	-4.2215	-2.599134048	-4.838986002	95
96	-2.5991	-4.8390	-1.966496499	-4.8213931	96
97	-1.9665	-4.8214	-1.770733484	-4.220231029	97
98	-1.7707	-4.2202	-1.736845415	-4.850913038	98
99	-1.7368	-4.8509	-1.143170971	-4.63723612	99
100	-1.1432	-4.6372	-1.74582128	-4.452497646	100
101	-1.7458	-4.4525	-1.956362669	-3.859028271	101
102	-1.9564	-3.8590	-1.35548418	-4.045322773	102
103	-1.3555	-4.0453	-1.439001615	-4.668236423	103
104	-1.4390	-4.6682	-0.833820949	-4.835561502	104
105	-0.8338	-4.8356	-0.236368874	-5.026730701	105
106	-0.2364	-5.0267	0.387697084	-4.969301991	106
107	0.3877	-4.9693	-0.201563959	-4.757647169	107
108	-0.2016	-4.7576	-0.815707726	-4.87652444	108
109	-0.8157	-4.8765	-1.409079955	-5.07273786	109
