k	x	y	x2	y2	col
0	0.0000	0.0000	1.0000	0.0000	0
2	1.0000	0.0000	1.7602	0.5959	1
4	1.7602	0.5959	0.8851	0.9566	2
6	0.8851	0.9566	0.6622	0.0506	3
8	0.6622	0.0506	-0.1159	0.5464	4
10	-0.1159	0.5464	-0.9962	0.2992	5
12	-0.9962	0.2992	-0.4905	1.0526	6
14	-0.4905	1.0526	-0.8609	1.8742	7
16	-0.8609	1.8742	-0.2253	1.2428	8
18	-0.2253	1.2428	-1.1123	1.1560	9
20	-1.1123	1.1560	-1.3413	0.2991	10
22	-1.3413	0.2991	-0.8194	1.0115	11
24	-0.8194	1.0115	-0.0134	0.6593	12
26	-0.0134	0.6593	-0.0778	1.5333	13
28	-0.0778	1.5333	0.4243	0.8187	14
30	0.4243	0.8187	1.1955	0.4148	15
32	1.1955	0.4148	0.6744	1.1089	16
34	0.6744	1.1089	1.5339	1.0076	17
36	1.5339	1.0076	0.8481	1.5317	18
38	0.8481	1.5317	1.4708	2.1262	19
40	1.4708	2.1262	0.7565	1.6494	20
42	0.7565	1.6494	1.0930	0.8615	21
44	1.0930	0.8615	0.8403	1.6782	22
46	0.8403	1.6782	0.8680	0.8255	23
48	0.8680	0.8255	1.2277	0.0539	24
50	1.2277	0.0539	2.0504	0.2664	25
52	2.0504	0.2664	1.7219	1.0483	26
54	1.7219	1.0483	2.2917	0.4223	27
56	2.2917	0.4223	2.9857	-0.0599	28
58	2.9857	-0.0599	3.7932	-0.3040	29
60	3.7932	-0.3040	4.6293	-0.2027	30
62	4.6293	-0.2027	3.8024	-0.3552	31
64	3.8024	-0.3552	4.3119	0.3121	32
66	4.3119	0.3121	3.5022	0.5293	33
68	3.5022	0.5293	2.7352	0.1938	34
70	2.7352	0.1938	2.0215	-0.2414	35
72	2.0215	-0.2414	2.7065	0.2357	36
74	2.7065	0.2357	1.8729	0.2256	37
76	1.8729	0.2256	1.2946	0.8246	38
78	1.2946	0.8246	1.1755	0.0016	39
80	1.1755	0.0016	0.9790	0.8086	40
82	0.9790	0.8086	0.7201	0.0205	41
84	0.7201	0.0205	0.5908	-0.7980	42
86	0.5908	-0.7980	-0.1346	-0.3994	43
88	-0.1346	-0.3994	-0.3162	0.4070	44
90	-0.3162	0.4070	-0.9949	0.8773	45
92	-0.9949	0.8773	-1.7579	0.5638	46
94	-1.7579	0.5638	-2.2871	1.1955	47
96	-2.2871	1.1955	-2.5989	1.9573	48
98	-2.5989	1.9573	-1.8656	1.5850	49
100	-1.8656	1.5850	-1.6600	0.7897	50
102	-1.6600	0.7897	-2.1588	0.1379	51
104	-2.1588	0.1379	-2.9329	0.4083	52
106	-2.9329	0.4083	-3.6485	0.8070	53
